"date","category","value"
"2014","Stephen Burke",387081
"2014","Brian Roberts",346564
"2014","Michael Angelakis",278863
"2014","David Cohen",149895
"2014","Neil Smit",25462
"2014","Ralph Roberts",0
"2014","Total",1187865
"2013","Stephen Burke",390994
"2013","Brian Roberts",192177
"2013","Michael Angelakis",194091
"2013","David Cohen",151743
"2013","Neil Smit",37147
"2013","Ralph Roberts",0
"2013","Total",966152
"2012","Stephen Burke",368511
"2012","Brian Roberts",349683
"2012","Michael Angelakis",172859
"2012","David Cohen",140243
"2012","Neil Smit",21815
"2012","Ralph Roberts",0
"2012","Total",1053111
"2011","Stephen Burke",399419
"2011","Brian Roberts",237176
"2011","Michael Angelakis",193701
"2011","David Cohen",187269
"2011","Neil Smit",2261
"2011","Ralph Roberts",0
"2011","Total",1019826
"2010","Stephen Burke",386752
"2010","Brian Roberts",195767
"2010","Michael Angelakis",191344
"2010","David Cohen",113599
"2010","Neil Smit",0
"2010","Ralph Roberts",0
"2010","Total",887462
"2009","Stephen Burke",455154
"2009","Brian Roberts",492000
"2009","Michael Angelakis",97712
"2009","David Cohen",108935
"2009","Neil Smit",0
"2009","Ralph Roberts",0
"2009","Total",1153801
"2008","Stephen Burke",315118
"2008","Brian Roberts",392732
"2008","Michael Angelakis",41208
"2008","David Cohen",65618
"2008","Neil Smit",0
"2008","Ralph Roberts",68016
"2008","Total",882692
